Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-01-18 11:31:44,false,"Louisville Running","8.01","565","00:47:14","138","172","2.3","167","179","5:54","5:20","7","8","1.02","0.0","7,848","No","00:00:04.7","9","00:47:12","00:47:14","142","148"
Running,2026-01-17 12:03:50,false,"Louisville Running","13.43","925","01:03:47","153","176","3.5","169","208","4:45","4:00","3","3","1.25","0.0","10,720","No","00:02:29.6","14","01:03:44","01:05:57","139","146"
Running,2026-01-16 19:33:07,false,"Louisville Running","13.46","958","01:10:38","149","174","3.2","165","223","5:15","2:40","53","53","1.16","0.0","11,696","No","00:00:11.1","21","01:10:01","01:11:43","140","149"
Running,2026-01-15 11:34:42,false,"10x hill 🔪","13.63","972","01:08:36","155","177","3.4","166","212","5:02","2:48","128","126","1.20","0.0","11,354","No","00:00:12.7","19","01:08:29","01:11:52","135","155"
Running,2026-01-14 07:44:16,false,"Medium long run","16.63","1,192","01:24:08","149","163","3.5","167","205","5:03","3:36","121","119","1.18","0.0","14,056","No","00:03:11.0","17","01:23:57","01:27:39","133","163"
Running,2026-01-13 14:14:53,false,"Louisville - Recovery","7.06","523","00:40:26","144","156","2.5","165","184","5:44","4:44","19","19","1.06","0.0","6,686","No","00:02:51.4","8","00:40:25","00:40:47","140","149"
Running,2026-01-13 07:25:46,false,"Tempo - 30mins","12.56","855","00:57:51","156","175","3.8","170","193","4:36","3:24","48","45","1.27","0.0","9,806","No","00:00:13.2","14","00:57:39","01:02:00","135","150"
Running,2026-01-12 14:52:34,false,"Louisville Running","6.25","480","00:35:10","154","188","2.8","161","224","5:37","2:37","11","10","1.11","0.0","5,682","No","00:01:23.2","7","00:35:07","00:43:59","143","155"
Running,2026-01-11 07:18:15,false,"Louisville Running","27.91","2,007","02:14:36","152","170","4.5","172","197","4:49","3:39","168","170","1.21","0.0","23,036","No","00:04:08.0","28","02:14:30","02:14:44","133","166"
Running,2026-01-10 16:19:59,false,"Louisville Running","10.36","727","00:54:48","145","169","3.0","170","187","5:17","4:06","87","87","1.11","0.0","9,302","No","00:02:01.5","11","00:54:15","00:55:10","133","166"
Running,2026-01-09 10:28:06,false,"Louisville Running","10.91","779","01:02:18","140","169","2.9","161","226","5:43","2:41","4","3","1.09","0.0","10,006","No","00:00:12.0","20","01:01:35","01:08:50","139","144"
Running,2026-01-08 12:00:43,false,"Louisville Running","9.10","638","00:49:54","141","153","2.6","164","196","5:29","4:12","44","42","1.11","0.0","8,214","No","00:00:32.7","10","00:49:48","00:54:25","133","163"
Running,2026-01-07 11:01:36,false,"Louisville Running","13.52","956","01:07:39","146","161","3.3","166","188","5:00","3:45","65","64","1.21","0.0","11,196","No","00:02:24.7","14","01:07:31","01:08:02","134","158"
Running,2026-01-06 14:31:39,false,"Louisville - Base","7.90","560","00:41:05","148","164","2.9","171","192","5:12","4:15","17","15","1.13","0.0","6,972","No","00:04:49.3","8","00:41:02","00:42:15","142","155"
Running,2026-01-06 09:51:09,false,"Louisville Running","1.84","129","00:10:32","136","145","1.2","170","176","5:43","4:56","3","6","1.03","0.0","1,792","No","00:04:35.5","2","00:10:31","00:10:32","140","149"
Running,2026-01-06 09:12:11,false,"Threshold","9.00","567","00:34:59","167","177","3.4","172","196","3:53","3:10","52","55","1.47","0.0","6,032","No","00:00:56.8","12","00:33:58","00:35:37","140","151"
Running,2026-01-06 09:09:37,false,"strides","0.27","21","00:01:47.4","143","157","0.2","135","215","6:40","3:18","--","3","1.17","0.0","246","No","00:00:13.1","4","00:01:42.0","00:01:47.4","143","146"
Running,2026-01-06 08:56:12,false,"Louisville Running","1.82","133","00:09:51.0","146","161","1.7","171","180","5:25","4:43","6","10","1.08","0.0","1,704","No","00:04:04.6","2","00:09:43.6","00:09:51.0","140","149"
Running,2026-01-05 09:29:41,false,"Louisville - Base","11.36","818","00:55:53","156","166","3.3","169","185","4:55","4:05","4","2","1.20","0.0","9,446","No","00:00:31.5","13","00:55:52","00:55:53","139","146"
Running,2026-01-05 09:25:46,false,"Louisville Running","0.48","30","00:03:00.2","133","165","0.2","170","180","6:13","5:27","--","--","0.95","0.0","508","No","00:03:00.2","1","00:03:00","00:03:00.2","142","144"
Running,2026-01-04 13:25:49,false,"Louisville - Base","19.04","1,329","01:31:41","150","171","3.8","169","206","4:49","3:22","36","34","1.23","0.0","15,432","No","00:01:40.6","20","01:31:30","01:36:35","140","149"
Running,2026-01-03 13:33:26,false,"Louisville Running","5.42","388","00:31:14","135","148","2.2","167","182","5:46","5:18","24","23","1.04","0.0","5,224","No","00:02:26.6","6","00:31:11","00:32:09","140","149"
Running,2026-01-02 12:57:44,false,"Louisville Running","18.34","1,350","01:30:03","159","178","4.1","169","198","4:55","3:20","55","52","1.21","0.0","15,156","No","00:01:46.3","19","01:30:00","01:30:17","119","140"
Running,2026-01-01 12:26:00,false,"Louisville - Recovery","7.39","518","00:40:44","141","169","2.5","163","217","5:31","2:31","11","10","1.11","0.0","6,598","No","00:00:14.7","16","00:40:41","00:45:19","142","148"
Running,2025-12-31 14:14:11,false,"Louisville - Base","8.38","612","00:42:03","150","166","3.1","168","186","5:01","4:10","10","9","1.19","0.0","7,068","No","00:00:02.6","10","00:42:01","00:42:25","143","155"
Running,2025-12-30 11:41:47,false,"Louisville - Tempo","14.86","981","01:02:50","160","174","4.2","171","193","4:14","3:18","45","43","1.38","0.0","10,736","No","00:00:18.1","17","01:02:40","01:03:23","135","150"
Running,2025-12-30 11:34:18,false,"Louisville Running","0.98","65","00:05:38.2","130","145","0.7","167","174","5:46","5:06","3","--","1.04","0.0","954","No","00:05:38.2","1","00:05:26","00:05:38.2","145","150"
Running,2025-12-29 10:42:34,false,"Louisville - Recovery","7.05","497","00:40:20","134","150","2.3","170","182","5:43","5:12","12","11","1.03","0.0","6,852","No","00:01:19.1","8","00:40:18","00:45:40","135","150"
Running,2025-12-28 08:46:15,false,"long run","23.01","1,617","02:02:10","143","169","3.6","169","197","5:19","3:32","205","205","1.11","0.0","20,576","No","00:00:06.9","24","02:02:03","02:05:39","146","210"
Running,2025-12-27 10:24:38,false,"Cincinnati Running","10.65","782","01:02:48","147","173","2.8","165","228","5:54","2:25","12","11","1.03","0.0","10,330","No","00:00:11.3","22","01:02:43","01:04:29","142","150"
Running,2025-12-26 19:00:50,false,"Hamilton County - Recovery","10.32","760","01:00:38","140","152","2.7","168","181","5:52","4:31","38","42","1.02","0.0","10,180","No","00:00:39.4","12","01:00:28","01:04:19","260","281"
Running,2025-12-25 14:45:17,false,"Louisville Running","1.63","128","00:10:01","149","160","1.4","164","234","6:08","5:22","114","1","0.99","0.0","1,650","No","00:03:52.6","2","00:09:54","00:10:09","31","146"
Running,2025-12-25 14:26:38,false,"An honest mile","2.61","177","00:11:52","161","184","2.3","151","210","4:33","2:46","4","2","1.42","0.0","1,882","No","00:03:03.2","3","00:11:52","00:11:52","140","146"
