Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-03-31 20:03:43,false,"Louisville Running","5.46","372","00:30:31","130","139","2.1","161","177","5:36","4:54","5","5","1.11","0.0","4,910","No","00:02:37.4","6","00:30:30","00:30:52","142","148"
Running,2026-03-31 07:26:16,false,"Louisville - Base","11.57","838","00:57:27","152","162","3.2","163","178","4:58","4:23","45","45","1.23","0.0","9,372","No","00:03:45.7","12","00:57:25","00:57:48","140","149"
Running,2026-03-30 09:52:37,false,"Louisville - Tempo","16.39","1,112","01:12:41","161","178","3.9","166","198","4:26","3:18","66","65","1.35","0.0","12,024","No","00:00:16.2","25","01:11:50","01:14:53","134","155"
Running,2026-03-29 14:11:23,false,"Louisville - Recovery","6.30","451","00:34:59","137","149","2.3","159","169","5:33","4:35","5","1","1.14","0.0","5,544","No","00:00:58.2","8","00:34:50","00:35:34","142","148"
Running,2026-03-28 09:36:08,false,"Louisville Running","10.01","722","00:51:28","146","169","3.0","162","174","5:08","1:21","24","25","1.20","0.0","8,348","No","00:00:03.4","11","00:51:17","00:52:15","139","188"
Treadmill Running,2026-03-27 07:52:51,false,"Treadmill Long run","28.08","1,611","02:15:32","159","173","3.9","167","180","4:50","4:12","--","--","1.24","0.0","22,528","No","00:00:29.4","29","02:15:21","02:18:06","--","--"
Running,2026-03-26 11:30:45,false,"Louisville - Base","14.04","1,012","01:13:04","154","171","3.5","152","224","5:12","2:24","3","3","1.24","0.0","11,216","No","00:00:14.8","26","01:10:26","01:13:52","139","144"
Running,2026-03-25 13:56:07,false,"Louisville - Base","16.12","1,131","01:17:16","155","169","3.6","163","178","4:48","4:09","40","40","1.28","0.0","12,574","No","00:00:43.8","17","01:17:10","01:17:16","120","140"
Running,2026-03-24 11:38:36,false,"CD","4.34","310","00:27:05","133","147","1.9","162","176","6:15","5:16","35","37","0.99","0.0","4,400","No","00:02:01.1","5","00:26:40","00:29:39","134","163"
Running,2026-03-24 10:49:55,false,"3x 3k","10.33","684","00:41:30","163","179","3.7","164","203","4:01","2:53","55","57","1.51","0.0","6,862","No","00:00:07.3","17","00:40:26","00:41:30","140","149"
Running,2026-03-24 10:16:18,false,"WU","4.32","350","00:25:18","150","166","2.4","157","181","5:52","4:22","38","37","1.08","0.0","4,030","No","00:03:34.4","5","00:24:39","00:27:21","133","162"
Running,2026-03-23 11:05:03,false,"Louisville Running","10.80","786","00:55:42","151","164","3.1","162","176","5:10","4:30","36","35","1.19","0.0","9,014","No","00:04:38.9","11","00:55:38","00:56:00","134","150"
Running,2026-03-22 13:55:44,false,"Louisville - Recovery","7.00","527","00:40:17","145","161","2.4","156","166","5:45","4:45","23","23","1.11","0.0","6,258","No","00:00:21.3","8","00:40:15","00:40:17","140","149"
Running,2026-03-21 08:34:01,false,"Louisville Running","4.37","376","00:27:07","160","178","2.5","163","180","6:12","5:09","82","80","0.99","0.0","4,416","No","00:02:16.1","5","00:26:53","00:28:48","98","144"
Running,2026-03-21 07:30:02,false,"Derby city 10k (official time - 35:35)","10.12","628","00:35:41","173","182","4.0","176","208","3:32","2:53","11","14","1.61","0.0","6,246","No","00:00:25.1","11","00:35:37","00:35:41","132","143"
Running,2026-03-21 06:53:46,false,"Louisville Running","1.76","163","00:14:12","121","153","2.0","101","229","8:03","2:32","4","3","1.21","0.0","1,524","No","00:00:15.2","14","00:12:46","00:14:12","138","143"
Running,2026-03-21 06:16:22,false,"Louisville Running","4.43","343","00:23:13","155","175","2.6","163","176","5:15","4:30","25","27","1.17","0.0","3,780","No","00:02:13.9","5","00:23:10","00:23:13","137","163"
Running,2026-03-20 10:45:44,false,"Louisville Running","1.40","98","00:09:25.5","129","147","0.8","131","229","6:45","2:39","3","2","1.11","0.0","1,270","No","00:00:13.6","13","00:09:18.5","00:09:25.5","143","146"
Running,2026-03-20 10:16:46,false,"Louisville Running","4.37","357","00:24:59","154","172","2.6","159","171","5:43","5:02","21","19","1.10","0.0","3,988","No","00:02:01.3","5","00:24:47","00:25:39","126","144"
Running,2026-03-20 09:44:57,false,"Louisville Running","4.12","309","00:22:40","140","165","2.4","161","182","5:30","3:47","4","5","1.13","0.0","3,642","No","00:00:39.3","5","00:22:32","00:24:39","137","144"
Running,2026-03-19 13:19:12,false,"Louisville Running","9.48","692","00:58:50","138","170","2.6","153","227","6:12","2:32","38","39","1.05","0.0","9,080","No","00:00:14.7","20","00:58:04","01:07:03","134","155"
Running,2026-03-18 14:01:32,false,"Louisville - Recovery","8.55","615","00:48:00","143","165","2.6","161","170","5:37","4:55","2","3","1.10","0.0","7,718","No","00:03:49.5","9","00:47:57","00:48:28","139","144"
Running,2026-03-17 12:04:21,false,"CD","3.09","224","00:19:23","136","147","1.4","158","170","6:16","5:39","13","10","1.01","0.0","3,078","No","00:00:34","5","00:19:20","00:19:53","137","150"
Running,2026-03-17 11:51:59,false,"4.x 200","1.18","108","00:07:35.0","153","173","1.7","108","215","6:24","2:40","--","--","1.40","0.0","984","No","00:00:34.7","9","00:07:18.5","00:07:35.0","141","143"
Running,2026-03-17 11:17:12,false,"2x 3k","6.96","492","00:29:25","165","179","3.5","162","202","4:14","2:57","11","11","1.43","0.0","4,858","No","00:01:49.2","9","00:28:56","00:29:25","137","143"
Running,2026-03-17 10:51:51,false,"warmup","3.54","275","00:20:56","144","160","2.2","159","174","5:55","4:49","5","7","1.06","0.0","3,344","No","00:03:37.5","4","00:20:54","00:21:25","140","150"
Running,2026-03-16 10:51:00,false,"Louisville Running","1.05","85","00:08:19.4","133","161","0.7","125","231","7:56","2:47","2","3","1.00","0.0","1,070","No","00:00:12.2","9","00:07:51.5","00:10:22","143","146"
Running,2026-03-16 09:24:47,false,"Louisville - Recovery","10.65","760","00:59:17","144","169","2.7","161","182","5:34","5:03","30","31","1.11","0.0","9,548","No","00:00:38.3","12","00:59:13","01:00:48","135","150"
Running,2026-03-15 14:28:52,false,"Louisville - Recovery","8.41","617","00:50:55","138","159","2.3","161","174","6:03","4:51","24","24","1.03","0.0","8,166","No","00:03:56.7","9","00:50:53","00:51:10","140","149"
Running,2026-03-14 14:32:54,false,"Louisville Running","6.69","494","00:37:13","143","164","2.6","160","174","5:34","4:43","2","3","1.13","0.0","5,956","No","00:04:08.1","7","00:37:05","00:38:39","139","144"
Running,2026-03-13 19:48:07,false,"Louisville Running","10.11","751","00:54:02","150","164","3.0","162","186","5:21","4:08","40","40","1.15","0.0","8,814","No","00:00:44.4","11","00:53:52","00:54:24","140","149"
Running,2026-03-13 13:04:30,false,"Louisville - Recovery","8.41","570","00:45:54","138","152","2.4","160","174","5:28","4:28","24","24","1.15","0.0","7,296","No","00:01:02.1","10","00:45:51","00:46:19","134","150"
Running,2026-03-12 08:47:02,false,"Clarksville Running","31.77","2,152","02:18:10","155","167","4.9","172","188","4:21","3:26","113","111","1.34","0.0","23,648","No","00:03:24.4","32","02:17:59","02:18:10","117","140"
Running,2026-03-11 11:43:44,false,"Louisville - Recovery","9.78","757","01:00:41","147","166","2.7","146","232","6:12","2:28","23","22","1.09","0.0","9,190","No","00:00:12.4","21","01:00:00","01:04:35","140","149"
Running,2026-03-10 11:35:28,false,"Louisville - Recovery","12.60","879","01:08:56","141","153","2.8","160","174","5:28","4:25","106","107","1.14","0.0","10,980","No","00:00:35.5","14","01:08:42","01:15:41","133","166"
Running,2026-03-10 11:12:20,false,"Louisville Running","2.57","184","00:17:45","127","137","1.0","157","176","6:55","5:25","3","2","0.92","0.0","2,804","No","00:04:19.6","3","00:17:12","00:19:18","143","148"
Running,2026-03-09 11:07:18,false,"Louisville - Threshold","15.01","1,003","01:10:45","154","178","3.8","165","191","4:43","3:14","92","110","1.28","0.0","11,652","No","00:01:26.3","16","01:10:30","01:15:50","134","164"
Running,2026-03-09 10:50:01,false,"Louisville Running","2.48","175","00:14:18","135","155","1.6","162","190","5:46","1:21","23","8","1.07","0.0","2,324","No","00:02:37.9","3","00:14:13","00:16:23","133","159"
Running,2026-03-08 20:12:33,false,"Louisville - Recovery","8.55","636","00:52:06","137","156","2.5","161","194","6:06","5:05","41","40","1.02","0.0","8,384","No","00:05:18.6","9","00:52:03","00:52:31","140","149"
Running,2026-03-07 19:35:46,false,"Louisville - Recovery","10.66","761","00:56:54","141","152","2.9","160","196","5:20","4:35","12","12","1.17","0.0","9,060","No","00:01:19.9","12","00:56:52","00:56:54","140","154"
Running,2026-03-06 07:46:54,false,"Iroquois long run","32.20","2,215","02:27:38","158","175","4.8","168","188","4:35","3:29","192","192","1.30","0.0","24,678","No","00:01:02.0","33","02:26:53","02:44:44","140","181"
Running,2026-03-05 13:50:13,false,"Louisville - Recovery","7.64","577","00:41:55","148","162","2.8","161","172","5:29","4:57","22","23","1.13","0.0","6,732","No","00:01:13.8","9","00:41:50","00:43:09","140","149"
Running,2026-03-04 10:24:18,false,"Louisville - Recovery","9.00","697","00:56:52","146","167","2.5","151","226","6:19","2:40","50","48","1.05","0.0","8,676","No","00:00:12.6","21","00:55:34","00:59:18","134","158"
Running,2026-03-03 20:08:43,false,"Louisville Running","6.36","447","00:37:13","134","161","2.2","162","174","5:51","4:41","28","27","1.05","0.0","6,034","No","00:02:16.7","7","00:37:08","00:38:41","140","149"
Running,2026-03-03 07:29:58,false,"Louisville - Base","9.62","693","00:50:00","153","166","2.9","162","174","5:12","4:39","2","3","1.19","0.0","8,114","No","00:01:28.2","11","00:49:51","00:50:57","139","144"
Running,2026-03-02 10:33:35,false,"Louisville - Tempo","14.78","1,009","01:07:52","157","174","3.7","164","193","4:35","3:19","44","42","1.32","0.0","11,082","No","00:01:57.2","19","01:05:07","01:08:34","135","150"
Running,2026-03-02 10:22:22,false,"Louisville Running","1.46","117","00:10:02","136","148","1.0","151","176","6:54","4:23","6","6","0.96","0.0","1,600","No","00:03:44.0","2","00:09:24","00:10:54","142","150"
Running,2026-03-01 20:04:52,false,"Louisville - Base","9.61","658","00:48:03","146","157","2.9","163","184","5:00","4:35","26","27","1.23","0.0","7,812","No","00:00:03.0","11","00:47:59","00:48:55","140","149"
Running,2026-02-28 08:12:15,false,"Cincinnati - Base","30.87","2,110","02:26:37","149","170","4.2","166","203","4:45","3:35","279","279","1.27","0.0","24,324","No","00:01:32.0","32","02:26:15","02:30:42","146","210"
Running,2026-02-27 12:48:35,false,"Louisville Running","8.14","552","00:45:43","139","170","2.3","164","178","5:37","4:59","23","21","1.08","0.0","7,512","No","00:00:49.8","9","00:45:41","00:47:23","135","150"
Running,2026-02-26 11:50:07,false,"fartlek ","18.56","1,298","01:32:46","154","173","3.7","165","196","5:00","3:42","27","30","1.21","0.0","15,348","No","00:04:00.1","19","01:32:34","01:38:07","140","159"
Running,2026-02-25 13:31:42,false,"Louisville - Recovery","7.90","605","00:49:44","139","160","2.4","158","222","6:18","4:58","20","20","1.00","0.0","7,962","No","00:05:13.1","8","00:48:44","00:51:03","142","154"
Running,2026-02-24 10:08:31,false,"Threshold","17.80","1,252","01:29:26","153","175","3.8","161","220","5:01","3:04","109","107","1.23","0.0","14,548","No","00:03:39.5","18","01:29:16","01:35:08","133","163"
